Team,Sprint Set,Quarter,Date,Week #,Day 1 Close Target End Date,Close Category,Day 1 Close Theme,OKR,Key Result,Week Focus and Tasks,End of Week Deliverable / Milestone,Hours Saved,Owner(s),Dependencies,Status,Notes,Link
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,9/30/2026,Accruals,Scope and testing of accrual automation tool,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 1: Onboard WiseLayer accruals.ai by October close,"Onboard Wiselayer's accrual.ai tool in advance of October close. Connect to Netsuite and Zip, fill out onboarding forms, and prep the AI bot within the tool to understand our use case. Then, use the tool during October close alongside our current process.","- Connect to Netsuite and Zip platforms, and fill out onboarding forms from the vendor. 
- Meet with accruals.ai for onboarding kick off session (pending scheduling)",0,Justine O'Sullivan,,Complete,Financetech Ticket,
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,1/31/2026,Close Management,Build out Numeric instance,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 2: Leverage monitors to track coding changes,Input coding change requests monitors into Numeric for continuous monitoring of correct coding,All FY25 and FY26 coding change requests should be entered into Numeric and reviewed,1.5,Justine O'Sullivan,formatting in Numeric to function as expected,Complete,,
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,10/31/2025,Financial Reporting,Reduce coding reclasses,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 4: Reduce coding changes / catch coding errors during Zip invoice review,Alert FBOS to count of errors,"- Slack message for count of errors related to coding
- This key result is ongoing in nature",1,Justine O'Sullivan,N/A,Complete,can this be automated with a bot?,
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,1/31/2026,Close Management,Build out Numeric instance,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 3: AI flux bot enhancements,"Review OpEx flux templates and increase accuracy through the AI bot, reducing time fluxing by 2+ hours","- Review and optimize the flux template (OpEx - vendors)
- Work through test examples using the AI Bot conversational tool to understand what additional information can we give the bot to enhance our fluxes",2,Justine O'Sullivan,,Complete,,
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,1/31/2025,Acquistion,Integrate Guideline accounting operations,C.A. 5 Integrate Guideline acquisition into our Corporate accounting operations by Q3,"KR 1: Create entity structure in NS - Christina Denton for hierarchy
",Work with x-functional stakeholders to ensure set up is correct,Set up in Sandbox by week-end,,Rachele/Charles,Legal/Tax team being finalized and FNT,Complete,Entity set up in SB wee of 10/6,
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,9/30/2026,Leases,Automate lease journal entries,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 5: Automate lease journal entries,"1. Regroup with Spacebase team, discuss last week action items, align on next steps
2. Review Spacebase Custom JE report edits
3. Iterate on One Penn Plaza + 1515 Arapahoe lease entry into Spacebase","1. Custom JE report needs to be close to done
2. One Penn Plaza + 1515 Arapahoe needs to be into Spacebase",1,Selena Ochoa,,Complete,"Custom report is 80% done. Final edits to be completed by end of next week. 

Spacebase has provided an amortization schedule that agrees with our records for 1515 Arapahoe, moving forward with adding this to Spacebase. Communicated to Spacebase to mirror the same approach for One Penn Plaza, awaiting response as of 9.29.25.",
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,9/30/2026,Cash & Cash Equivalents,Scope and plan reducing corporate cash to BD1,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,"KR 4:  Close Cash on BD 3
KR 5 : Close Cash on BD 2","- Root cause analysis of current delays leading to BD 5 close
- Determine solutions",Alignment with D&V on go forward,8,Charles Sikazwe,"D&V capacity
Cross-functional partners
AI quick wins",Complete,Done,Close Cash Faster est. 09/2025
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,4/30/2026,Intercompany,Fully automate Transfer Pricing calculations in NS,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,KR 1:  Record all International intercompany revenue and expenses with TP Automation module,Assess current blockers for entities not using the tool,Complete documentation to be provided to FNT (Ravi),2,Charles Sikazwe,FNT support,Complete,Done,https://gustohq.atlassian.net/browse/FNT-3368
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,10/31/2025,Intercompany,Documenting Intercompany process,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,"KR 2: 
- Launch I/C Customer/Vendor profiles for all entities that transact with I/C GL accounts
- Establish system (Netsuite) I/C Billings & Invoicing in Netsuite
- System Intercompany Settlement",Documentation of current state,Complete documentation to be provided to FNT (Ravi/Isik),3,Charles Sikazwe,"FNT support
D&V capacity",Complete,Done,"Intercompany Improvements est. 10/2025
https://gustohq.atlassian.net/browse/FNT-3393 "
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,1/31/2025,Sales Commission,Automate EE data from NS into Xactly,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 6: Automate EE data from NS into Xactly,"1. Regroup w/ team, discuss last week action items, align on next steps
2. Status update on integration
3. Team to align on timeline",1. John has NetSuite access credentials for build,0,Selena Ochoa,"John Barsoum (Ackle Consulting), FNT",Complete,"John has been unresponsive to our requests or a no-show during scheduled calls. This has pushed back our progress by a week. In addition, he is having NS connection issues which due to his delayed response is contributing to the delay. ",
Corporate Accounting,Set 2,Q3'26,11/17/2025,3,9/30/2026,Accruals,Scope and testing of accrual automation tool,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 1: Automate the accrual process for a Day 1 close,"Focus: Work on proprietary build of a webpage
Tasks:
1. Work on the ""bills processed"" page in Bolt webpage design
2. Work on the ""pending invoices"" page in Bolt webpage design","- Completed ""bills processed"" and ""pending invoices"" tabs in Bolt webpage for accruals process. Working on this as an option if accruals.ai does not perform as we would like. ",35,Justine O'Sullivan,,In-Progress,,
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,9/30/2026,Payroll,Build out assistant for payroll fluxes,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 7: AI Assistant for payroll fluxes,1. Iterate prompts for Payroll Template,1. First iteration of payroll template prompt,5+,Selena Ochoa,Numeric platform being sophisticated enough to understand the level of detail I want in the flux. ,Complete,,
Corporate Accounting,Set 1,Q2'26,9/29/2025,2,9/30/2026,Leases,Automate lease journal entries,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 5: Automate lease journal entries,"1. Regroup with Spacebase team, discuss last week action items, align on next steps
2. Finalize Custom JE report + test
3. Iterate/Edit as necessary","1. Test in Sandbox Custom JE report + entries
2. Finalize adding One Penn + 1515 Arapahoe to SB",2,Selena Ochoa,Timely completion of custom JE report edits from SB and addition of One Penn Plaza + 1515 Arapahoe into SB. ,Complete,"Spacebase custom JE report is 95% done—one edit pending. 

Waiting to hear from Spacebase on adding two leases. Followed up Monday. Pushing for timeframe on when we can get this done. 

Potential blocker: Rahul inquiried as to why we are not using NS Lease Management. This could potentially block the automation coming to fruition via SB is team want to start using NS. This could also delay the timing of when we get a resource from FinTech to build integration. ",
Corporate Accounting,Set 1,Q2'26,9/29/2025,2,1/31/2025,Acquistion,Integrate Guideline accounting operations,C.A. 5 Integrate Guideline acquisition into our Corporate accounting operations by Q3,"KR 2: Understand the new depts with  +400 ee's + partnering with Conor (FBOS) to ensure coding is aligned with forecast etc

KR 3: Test consolidation and eliminations in NetSuite SB.

",Ensure new depts are mapped to the correct dept,Get sign off by CorpFin and TA on mapping,,Rachele/Charles,People/CorpFin having final decisions,Complete,"Dept/domains are complete - only 2 new domains. 

Entity testing ongoing week of 10/15-- currently blocked as FNT needs to add the subs back in and are waiting on licenses from NS",
Corporate Accounting,Set 1,Q2'26,9/29/2025,2,9/30/2026,Accruals,Scope and testing of accrual automation tool,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 1: Onboard WiseLayer accruals.ai by October close,"Onboard Wiselayer's accrual.ai tool in advance of October close. Connect to Netsuite and Zip, fill out onboarding forms, and prep the AI bot within the tool to understand our use case. Then, use the tool during October close alongside our current process.","[close week] 
- Meet with accruals.ai for onboarding session (pending scheduling)
- Perform normal September close activities, noting items for accruals.ai AI bot prep. ",0,Justine O'Sullivan,,Complete,"Accruals.ai ROI
meeting scheduled for next week",
Corporate Accounting,Set 1,Q2'26,9/29/2025,2,1/31/2026,Close Management,Build out Numeric instance,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 2: Leverage monitors to track coding changes,Input coding change requests monitors into Numeric for continuous monitoring of correct coding,"[close week]
- All coding change requests monitor alerts from new monitor created should be cleared/addressed. 
- This Key Result should be completed and coding changes going forward will be added to the monitors as the requests come in",0,Justine O'Sullivan,formatting in Numeric to function as expected,Complete,clearing alerts week 3 - ran into issue where i think there are too many alerts. Charmane to work on refining the filters so that this functions better,
Corporate Accounting,Set 1,Q2'26,9/29/2025,2,1/31/2026,Close Management,Build out Numeric instance,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 1: Confluence Guide,Create a comprehensive guide to Numeric on our Accounting Confluence space,"[close week]
- All Numeric related confluence pages should be reviewed and signed off in Asana",0,Justine O'Sullivan,Charmane availability,Complete,,Numeric Enhancements and Administration
Corporate Accounting,Set 1,Q2'26,9/29/2025,2,9/30/2026,Cash & Cash Equivalents,Scope and plan reducing corporate cash to BD1,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,"KR 4:  Close Cash on BD 3
KR 5 : Close Cash on BD 2",Execution of initial changes designed to expedite process,Cash 90%> closed by BD 3,8,Charles Sikazwe,"D&V capacity
Cross-functional partners
AI quick wins",Complete,Done,Close Cash Faster est. 09/2025
Corporate Accounting,Set 1,Q2'26,9/29/2025,2,4/30/2026,Intercompany,Fully automate Transfer Pricing calculations in NS,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,KR 1:  Record all International intercompany revenue and expenses with TP Automation module,FNT tool modifications,Usage of TP tool for entities (min 1) that didn't use in prev month,2,Charles Sikazwe,FNT support,Complete,Done,https://gustohq.atlassian.net/browse/FNT-3368
Corporate Accounting,Set 2,Q3'26,11/24/2025,4,9/30/2026,Accruals,Scope and testing of accrual automation tool,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 1: Automate the accrual process for a Day 1 close,"[Thanksgiving break] - Rollover for Aileen to work on
Focus: Work on proprietary build of a webpage
Tasks:
1. Work on the ""vendor configuration"" page in Bolt webpage design
2. Roadmap out building the accruals tool out to completion. We have the structure, what needs to be added, changed, in order for a day 1 close","[Thanksgiving break] - Rollover for Aileen to work on
- 50% progress on page, functioning for Justine to test on return from OOO
- Roadmap of what the tool still needs complete",35,Justine O'Sullivan,,Not Started,,
Corporate Accounting,Set 1,Q2'26,9/29/2025,2,4/30/2026,Intercompany,Establish system (Netsuite) I/C Billings & Invoicing in Netsuite,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,"KR 2: 
- Launch I/C Customer/Vendor profiles for all entities that transact with I/C GL accounts
- Establish system (Netsuite) I/C Billings & Invoicing in Netsuite
-  System Intercompany Settlement",Address FNT questions/open items,Roadmap for accomplishing KR 2 in FY26,3,Charles Sikazwe,"FNT support
D&V capacity",Complete,Done,"Intercompany Improvements est. 10/2025
https://gustohq.atlassian.net/browse/FNT-3393 "
Corporate Accounting,Set 1,Q2'26,9/29/2025,2,9/30/2026,Sales Commission,Automate EE data from NS into Xactly,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 6: Automate EE data from NS into Xactly,"1. Regroup w/ team, discuss last week action items, align on next steps
2. Status update on integration, unblock any blockers",1. Unblock any potential blockers for John and team,1,Selena Ochoa,"John Barsoum (Ackle Consulting), FNT",Complete,"John continues to be having NS access issues. Ravi + Isik workin on resolving. 

As of 10/03 - Ravi was able to identify the issue John was having getting access and resolve. I followed up with John Monday on timeline and when we can expect to start testing EE data.",
Corporate Accounting,Set 2,Q3'26,12/8/2025,6,9/30/2026,Accruals,Scope and testing of accrual automation tool,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 1: Automate the accrual process for a Day 1 close,"[close week]
Focus: Work on proprietary build of a webpage
Tasks:
1. Work on the ""vendor configuration"" page in Bolt webpage design
2. Work on the ""vendor estimates"" page in Bolt webpage design","[close week]
- Completed ""vendor configuration"" and ""vendor estimates"" tabs in Bolt webpage for accruals process. Working on this as an option if accruals.ai does not perform as we would like. ",35,Justine O'Sullivan,,Not Started,,
Corporate Accounting,Set 1,Q2'26,9/29/2025,2,9/30/2026,Payroll,Build out assistant for payroll fluxes,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 7: AI Assistant for payroll fluxes,1. Iterate prompts for Payroll Template,1. Finalize payroll template,5+,Selena Ochoa,,Complete,,
Corporate Accounting,Set 2,Q3'26,11/17/2025,3,1/31/2026,Close Management,Build out Numeric instance,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 1: Confluence Guide,"Focus: Create short form videos and pages to reference for all things Numeric
Tasks: 
1. Create a google sheet gameplan outlining the different core areas to focus on and what content each area needs (header page, subsequent pages, videos, pictures, etc)
2. Complete checklist, recons, and flux analysis sections fully as these are the most used","- Checklist, reconciliations, and flux analysis confluence pages are fully complete. Stocked with tips, tricks, how to videos, written instructions, and more
- Google sheet confluence page game plan is created and filled out",0,Justine O'Sullivan,,Not Started,,
Corporate Accounting,Set 2,Q3'26,11/24/2025,4,1/31/2026,Close Management,Build out Numeric instance,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 1: Confluence Guide,"[Thanksgiving Break] Charmane to work on
Focus: Create confluence pages for sub sections of Numeric 
Tasks: 
1. Follow the google sheet game plan and create all pages required for Numeric topics. 
2. Finalize Monitors, Saved Search, Reporting pages besides videos.","[Thanksgiving Break] Charmane to work on
- Monitors, Saved Search, Reporting pages are completed besides video how tos. 
- Gameplan sheet is updated to reflect progress
",0,Justine O'Sullivan,,Not Started,,
Corporate Accounting,Set 1,Q2'26,10/6/2025,3,9/30/2026,Accruals,Scope and testing of accrual automation tool,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 1: Onboard WiseLayer accruals.ai by October close,"Onboard Wiselayer's accrual.ai tool in advance of October close. Connect to Netsuite and Zip, fill out onboarding forms, and prep the AI bot within the tool to understand our use case. Then, use the tool during October close alongside our current process.","[close week] 
- Perform normal September close activities, noting items for accruals.ai AI bot prep. 
- Demo of tool",0,Justine O'Sullivan,,Complete,"Accruals.ai ROI Aileen to complete this when working through close recap
Aileen tool demo scheduled for Tuesday 14th",
Corporate Accounting,Set 1,Q2'26,10/6/2025,3,1/31/2026,Close Management,Build out Numeric instance,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 3: AI flux bot enhancements,"Review OpEx flux templates and increase accuracy through the AI bot, reducing time fluxing by 2+ hours","[close week]
- Review fluxes submitted using the OpEx - vendors template and understand which fluxes needed more context
- Understand how Aileen was able to use the conversational AI bot to  enhance the templated flux",0,Justine O'Sullivan,,Complete,"Seeing improvement using the AI bot features this month. We are able to be more granual on the vnedor level, and then leverage AI to summarize on the account/parent account level. Overall, a success and we will continue refining and see if accruals.ai can help in any way.",
Corporate Accounting,Set 1,Q2'26,10/6/2025,3,1/31/2025,Acquistion,Integrate Guideline accounting operations,C.A. 5 Integrate Guideline acquisition into our Corporate accounting operations by Q3,"
KR 4: Map the COA
",Map Guideline GL to Gusto Inc [FINALIZE] and review close checklist,"Get COA prepared, reviewed by TA and FBOS and ready for upload by FNT to NS by week-end pending entity set up

Review close checklist and detemine who will own tasks for Nov close",,Rachele/Charles,September close and Rebecca/Florence providing,Complete,"A few outstanding questions for GE team.

Met wit Florence/Christina this week to do first-pas of checklist. Meeting weekly moving forward to build out a Numeric checklist and review recon support.",
Corporate Accounting,Set 1,Q2'26,10/6/2025,3,9/30/2026,Cash & Cash Equivalents,Scope and plan reducing corporate cash to BD1,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,"KR 4:  Close Cash on BD 3
KR 5 : Close Cash on BD 2",[close week],[close week],8,Charles Sikazwe,"D&V capacity
Cross-functional partners
AI quick wins",Complete,--,Close Cash Faster est. 09/2025
Corporate Accounting,Set 1,Q2'26,10/6/2025,3,4/30/2026,Intercompany,Fully automate Transfer Pricing calculations in NS,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,KR 1:  Record all International intercompany revenue and expenses with TP Automation module,[close week],[close week],2,Charles Sikazwe,FNT support,Complete,--,https://gustohq.atlassian.net/browse/FNT-3368
Corporate Accounting,Set 1,Q2'26,10/6/2025,3,4/30/2026,Intercompany,Establish system (Netsuite) I/C Billings & Invoicing in Netsuite,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,"KR 2: 
- Launch I/C Customer/Vendor profiles for all entities that transact with I/C GL accounts
- Establish system (Netsuite) I/C Billings & Invoicing in Netsuite
-  System Intercompany Settlement",[close week],[close week],3,Charles Sikazwe,"FNT support
D&V capacity",Complete,[10/10] marked as at-risk due to FNT capacity dependence and competing OKR (Guideline intergration),"Intercompany Improvements est. 10/2025
https://gustohq.atlassian.net/browse/FNT-3393 "
Corporate Accounting,Set 1,Q2'26,10/6/2025,3,1/31/2026,Financial Reporting,Reduce coding reclasses,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 3: Maintain a SURL variance of <$100k QoQ,Deliver August SURL,"[close week]
- Evaluate August SURL (August accruals for August services vs September bills and reaccruals for August services) and send out Asana project update
- This key result is ongoing in nature",0,Justine O'Sullivan,September close ,Complete,"4. Accruals Analysis August FY26 - Aileen is investigating variances this week and will revert back. Since there were multiple accrual corrections, we want to ensure the data is accurate since they stem from multiple JEs. Will finalize upon return.",
Corporate Accounting,Set 1,Q2'26,10/6/2025,3,1/31/2025,Sales Commission,Automate Workday and Xactly ,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 6: Automate EE data from NS into Xactly,"1. Regroup w/ team, discuss last week action items, align on next steps
2. Have first build of integration",1. Finalize integration in Sandbox,1,Selena Ochoa,"John Barsoum (Ackle Consulting), FNT
",Complete,"As of 10/10 - John has set up the integration in Sandbox. Selena will cross check Workday EE data with the NS Saved Search next week to make sure data matches 1:1. From there, Lex needs to let Selena know when her team will run the new hire import into Xactly so that data can also be validated. 

Goal is to test all EE population and current imports.",
Corporate Accounting,Set 1,Q2'26,10/6/2025,3,9/30/2026,Payroll,Build out assistant for payroll fluxes,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 7: AI Assistant for payroll fluxes,1. Use payroll template,1. Payroll template used for Sept close,5+,Selena Ochoa,,Complete,,
Corporate Accounting,Set 1,Q2'26,10/13/2025,4,9/30/2026,Leases,Automate lease journal entries,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 5: Automate lease journal entries,"1. Regroup with Spacebase team, discuss last week action items, align on next steps
2. FinTech to assist building integration",1. Engage Gusto developer to begin automation + being automation build,2,Selena Ochoa,Bandwith from FinTech and Spacebase team availability to support initiative,Complete,"Update as of 10/20:

As of 10/13, FinTech and contracted developers did not have bandwidth to begin the integration. On 10/15 a developer was assinged with development work scheduled to start on 10/22, with an expected completion date of 11/07.

A requirements meeting was held on 10/17 with the developers to review scope and address initial questions.",
Corporate Accounting,Set 1,Q2'26,10/13/2025,4,9/30/2026,Accruals,Scope and testing of accrual automation tool,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 1: Onboard WiseLayer accruals.ai by October close,"Onboard Wiselayer's accrual.ai tool in advance of October close. Connect to Netsuite and Zip, fill out onboarding forms, and prep the AI bot within the tool to understand our use case. Then, use the tool during October close alongside our current process.","{Aileen to do, Justine OOO} 
- Perform working sessions to address vendor specific preferences in the system and overall understanding of tool. 
- Create loose timeline and correct order of accrual tasks for October close based on progress of implementation",2,Justine O'Sullivan,,Complete,,
Corporate Accounting,Set 1,Q2'26,10/13/2025,4,1/31/2025,Acquistion,Integrate Guideline accounting operations,C.A. 5 Integrate Guideline acquisition into our Corporate accounting operations by Q3,"KR 5: Review close checklist and identify how we will incorporate their activities into or monthly close
",Review existing workpapers,Plan what R&R we can asborb into our team and what will stay with GL team,,Rachele/Charles," Rebecca/Florence provided checklist, not need to review recon support and continue to understand their roles and responsibilties.",Complete,"GE team reviewing our designations of carry over the task or deprecate

Florence to Review clean checklist by 10/24 and then can upload into Numeric",
Corporate Accounting,Set 1,Q2'26,10/13/2025,4,9/30/2026,Cash & Cash Equivalents,Scope and plan reducing corporate cash to BD1,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,"KR 4:  Close Cash on BD 3
KR 5 : Close Cash on BD 2",Sep close recap,Go forward plan based on Sep recap,8,Charles Sikazwe,"D&V capacity
Cross-functional partners
AI quick wins",Complete,,Close Cash Faster est. 09/2025
Corporate Accounting,Set 1,Q2'26,10/13/2025,4,4/30/2026,Intercompany,Fully automate Transfer Pricing calculations in NS,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,KR 1:  Record all International intercompany revenue and expenses with TP Automation module,Sep close recap,Detailed documentation of current state and needed changes to be provided to FNT,2,Charles Sikazwe,FNT support,Complete,,https://gustohq.atlassian.net/browse/FNT-3368
Corporate Accounting,Set 1,Q2'26,10/13/2025,4,4/30/2026,Intercompany,Establish system (Netsuite) I/C Billings & Invoicing in Netsuite,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,"KR 2: 
- Launch I/C Customer/Vendor profiles for all entities that transact with I/C GL accounts
- Establish system (Netsuite) I/C Billings & Invoicing in Netsuite
-  System Intercompany Settlement",Sandbox review for I/C (Vendor & Customer) profiles,Provide feedback to FNT,3,Charles Sikazwe,"FNT support
D&V capacity",Complete,[10/10] marked as at-risk due to FNT capacity dependence and competing OKR (Guideline intergration),"Intercompany Improvements est. 10/2025
https://gustohq.atlassian.net/browse/FNT-3393 "
Corporate Accounting,Set 1,Q2'26,10/13/2025,4,1/31/2025,Sales Commission,Automate EE data from NS into Xactly,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 6: Automate EE data from NS into Xactly,"1. Regroup w/ team, discuss last week action items, align on next steps
2. Validate WD<>NS data matches
3. Validate new hire EE inputs in Xactly","1. Test and validate WD <> NS EE data
2. Test and validate EE inputs into Xactly",1,Selena Ochoa,"John Barsoum (Ackle Consulting), FNT, need input if edits are needed/if discerpancies are found

Lex Nazario & Sales Comp team for owernership going forward along with notifying Selena when her team has ran the import for new hires on 10/13.",In-Progress,"Update as of 10/20:

On 10/14, Lex noted that the Xactly Sandbox environment is being refreshed, which has delayed testing of the integration. A follow-up was sent on 10/20 to confirm when testing can resume.

On 10/16, Accounting completed testing of the Workday → NetSuite data and identified discrepancies requiring FinTech’s assistance to resolve. Similar discrepancies exist in the Workday → Xactly data, which Lex’s team needs to address.

Follow-ups have been sent to both teams. Accounting continues to experience challenges with teams taking ownership and defining next steps toward resolution.",
Corporate Accounting,Set 1,Q2'26,10/20/2025,5,9/30/2026,Leases,Automate lease journal entries,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 5: Automate lease journal entries,"1. Work w/ Justine to create allocation template for 3800 IT
2. Confirm developers have started working on integration (10/22 start date)",1. Allocation schedule created for all 3800 IT coding,2,Selena Ochoa,"Timely delivery and correspondence from developer

Justine having bandwidth to create allocation schedule",In-Progress,"Update as of 10/22:

Creation of allocation schedule for finance lease JE's has been pushed till after October close to avoid any issues. Per Justine, this should be quick and can be done before November close. 

Developers have completed the analysis/requirements and are on track to begin work next week. ",
Corporate Accounting,Set 1,Q2'26,10/20/2025,5,9/30/2026,Accruals,Scope and testing of accrual automation tool,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 1: Onboard WiseLayer accruals.ai by October close,"Onboard Wiselayer's accrual.ai tool in advance of October close. Connect to Netsuite and Zip, fill out onboarding forms, and prep the AI bot within the tool to understand our use case. Then, use the tool during October close alongside our current process.","- Working session for accrual team to go over October close plan
- Review timeline and order of accrual tasks from prior week
- Review vendor specific preferences created in the tool
- Finalize set up of tool",0,Justine O'Sullivan,,Complete,,
Corporate Accounting,Set 1,Q2'26,10/20/2025,5,1/31/2025,Acquistion,Integrate Guideline accounting operations,C.A. 5 Integrate Guideline acquisition into our Corporate accounting operations by Q3,KR 7: Place Guideline entity into Production,Move Guideline entity into Production,Entities are live in Production,,Rachele/Charles,FNT and/or legal if we are waiting on Gusto Holding final decision,Complete,"Gusto Holding is going to be an entity

We need to complete testing in Sandbox before we can move entity into Production

",
